2026-07-05 12:45:08,416 [INFO] ══════════ DÉMARRAGE DU PIPELINE ══════════
2026-07-05 12:45:08,416 [INFO] Lecture du CSV brut…
2026-07-05 12:45:08,834 [INFO]   101,500 lignes lues
2026-07-05 12:45:09,199 [INFO]   Doublons supprimés : 1,500
2026-07-05 12:45:09,317 [ERROR] {"transaction_id": "TX-2026000073", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,331 [ERROR] {"transaction_id": "TX-2026000080", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,365 [ERROR] {"transaction_id": "TX-2026000107", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,380 [ERROR] {"transaction_id": "TX-2026000131", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,388 [ERROR] {"transaction_id": "TX-2026000145", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,392 [ERROR] {"transaction_id": "TX-2026000150", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,413 [ERROR] {"transaction_id": "TX-2026000203", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,515 [ERROR] {"transaction_id": "TX-2026000451", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,544 [ERROR] {"transaction_id": "TX-2026000508", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,557 [ERROR] {"transaction_id": "TX-2026000541", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,567 [ERROR] {"transaction_id": "TX-2026000573", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,581 [ERROR] {"transaction_id": "TX-2026000604", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,587 [ERROR] {"transaction_id": "TX-2026000614", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,590 [ERROR] {"transaction_id": "TX-2026000618", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,627 [ERROR] {"transaction_id": "TX-2026000701", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,629 [ERROR] {"transaction_id": "TX-2026000705", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,636 [ERROR] {"transaction_id": "TX-2026000721", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,695 [ERROR] {"transaction_id": "TX-2026000871", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,696 [ERROR] {"transaction_id": "TX-2026000872", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,733 [ERROR] {"transaction_id": "TX-2026000988", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,746 [ERROR] {"transaction_id": "TX-2026001013", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,764 [ERROR] {"transaction_id": "TX-2026001057", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,775 [ERROR] {"transaction_id": "TX-2026001073", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,794 [ERROR] {"transaction_id": "TX-2026001108", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,855 [ERROR] {"transaction_id": "TX-2026001246", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:09,893 [ERROR] {"transaction_id": "TX-2026001337", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,912 [ERROR] {"transaction_id": "TX-2026001375", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:09,952 [ERROR] {"transaction_id": "TX-2026001497", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,014 [ERROR] {"transaction_id": "TX-2026001560", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,018 [ERROR] {"transaction_id": "TX-2026001570", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,023 [ERROR] {"transaction_id": "TX-2026001578", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,028 [ERROR] {"transaction_id": "TX-2026001593", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,030 [ERROR] {"transaction_id": "TX-2026001603", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,060 [ERROR] {"transaction_id": "TX-2026001671", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,072 [ERROR] {"transaction_id": "TX-2026001703", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,083 [ERROR] {"transaction_id": "TX-2026001734", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,087 [ERROR] {"transaction_id": "TX-2026001742", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,096 [ERROR] {"transaction_id": "TX-2026001775", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,097 [ERROR] {"transaction_id": "TX-2026001777", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,107 [ERROR] {"transaction_id": "TX-2026001803", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,117 [ERROR] {"transaction_id": "TX-2026001840", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,132 [ERROR] {"transaction_id": "TX-2026001869", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,137 [ERROR] {"transaction_id": "TX-2026001881", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,151 [ERROR] {"transaction_id": "TX-2026001922", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:45:10,208 [ERROR] {"transaction_id": "TX-2026002051", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:45:10,216 [ERROR] {"transaction_id": "TX-2026002074", "reason": "bad_price", "raw_value": "-99.99"}
